"EstablishmentID","InspectionID","Ins_TypeDesc","EstablishmentName","PlaceName","Address","Address2","City","State","Zip","TypeDescription","InspectionDate","score","Grade","NameSearch","Intersection"
"33412","1644018","REGULAR","SUN VALLEY GOLF COURSE","","6505 BETHANY LN","","LOUISVILLE","KY","40272","FOOD SERVICE","2021-12-23 00:00:00","96","A","SUN VALLEY GOLF COURSE",""
"105197","1644128","FOLLOWUP","EL NOPAL","","4414 DIXIE HWY","","LOUISVILLE","KY","40216","FOOD SERVICE","2021-12-27 00:00:00","99","A","EL NOPAL",""
"112364","1644131","REGULAR","HABESHA GROCERY & RESTAURANT","","7136 SOUTHSIDE DR","","LOUISVILLE","KY","40214","RETAIL-FOOD  10,000 SQ FT OR LESS","2021-12-27 00:00:00","96","A","HABESHA GROCERY & RESTAURANT",""
"100801","1644139","REGULAR","PANDA EXPRESS #2658","","10600 WESTPORT RD","","LOUISVILLE","KY","40241","FOOD SERVICE","2021-12-27 00:00:00","100","A","PANDA EXPRESS #2658",""
"110004","1644250","REGULAR","DOC'S BOURBON ROOM","","129 W MAIN ST","","LOUISVILLE","KY","40202","FOOD SERVICE","2021-12-28 00:00:00","99","A","DOC'S BOURBON ROOM",""
"99272","1647163","REGULAR","ZAXBY'S","","4949 DIXIE HWY","","LOUISVILLE","KY","40216","FOOD SERVICE","2022-01-19 00:00:00","97","A","ZAXBY'S",""
"85487","1647164","REGULAR","PINA FIESTA MEXICAN GRILL","","7895 DIXIE HWY","","LOUISVILLE","KY","40258","FOOD SERVICE","2022-01-19 00:00:00","95","A","PINA FIESTA MEXICAN GRILL",""
"103712","1647167","REGULAR","BEEHIVE HOMES OF LYNDON","","8401 LAGRANGE RD","","LOUISVILLE","KY","40222","FOOD SERVICE (HOSPITAL / NURSING HOME","2022-01-19 00:00:00","99","A","BEEHIVE HOMES OF LYNDON",""
"84634","1647168","REGULAR","SUNRISE SENIOR LIVING","","6700 OVERLOOK DR","","LOUISVILLE","KY","40241","FOOD SERVICE","2022-01-19 00:00:00","99","A","SUNRISE SENIOR LIVING",""
"96124","1647169","REGULAR","TEA STATION CHINESE BISTRO","","9422 NORTON COMMONS BLVD","","PROSPECT","KY","40059","FOOD SERVICE","2022-01-19 00:00:00","95","A","TEA STATION CHINESE BISTRO",""
